Frequency DateTime Pmin Pmax PathLength XStart YStart XEnd YEnd ID
38.077 201208282230 -49 -48 2.45419 6.53419 53.23934 6.56413 53.22655 1026
39.207 201208282230 -54 -53 4.98579 6.45558 52.81826 6.51173 52.7891 440
37.978 201208282230 -43 -42 2.58349 6.5192 52.85566 6.5251 52.8786 439
37.912 201208282230 -47 -46 2.98403 6.60336 52.83134 6.6035 52.85816 441
39.252 201208282230 -50 -50 3.73824 6.45558 52.81826 6.51082 52.82123 442
37.992 201208282230 -51 -50 3.73824 6.51082 52.82123 6.45558 52.81826 459
38.007 201208282245 -50 -50 4.36945 6.56879 53.00951 6.58921 53.04679 2923
25.392 201208282245 -48 -48 2.91374 6.60905 53.19939 6.63152 53.17696 797
39.239 201208282245 -45 -44 1.44321 6.60604 53.22877 6.58937 53.22052 798
37.999 201208282245 -47 -47 1.36002 6.58561 53.20951 6.58308 53.19738 804
25.382 201208282245 -53 -52 5.90227 6.21379 53.26541 6.26425 53.30898 919
37.999 201208282245 -53 -53 2.66357 6.56984 52.98393 6.54071 52.96769 800
39.26 201208282245 -44 -43 3.75183 6.57222 53.22372 6.57014 53.19003 799
37.999 201208282245 -41 -40 3.75183 6.57014 53.19003 6.57222 53.22372 795
37.978 201208282245 -45 -45 1.44321 6.58937 53.22052 6.60604 53.22877 796
39.172 201208282245 -50 -49 1.34384 6.60905 53.19939 6.59218 53.20597 801
37.978 201208282245 -48 -48 3.85081 6.57504 53.01815 6.53268 52.99481 809
39.239 201208282245 -45 -44 4.29726 6.58641 53.1305 6.59599 53.16868 806
39.245 201208282245 -51 -51 1.61516 6.55769 52.99663 6.56879 53.00951 2924
39.239 201208282245 -51 -50 3.85081 6.53268 52.99481 6.57504 53.01815 805
25.102 201208282245 -49 -48 5.02111 6.56879 53.00951 6.54071 52.96769 2925
37.992 201208282245 -48 -48 1.72478 6.56984 52.98393 6.57279 52.99933 2905
38.077 201208282245 -47 -47 1.61457 6.54181 53.00762 6.52131 53.00002 815
37.94 201208282245 -52 -52 1.5292 6.5679 53.21023 6.57222 53.22372 814
38.356 201208282245 -46 -45 3.90479 6.57222 53.22372 6.62579 53.23779 808
38.084 201208282245 -50 -50 1.32874 6.56879 53.00951 6.5834 53.01757 2912
37.94 201208282245 -52 -52 2.92404 6.56879 53.00951 6.53268 52.99481 2913
39.2 201208282245 -45 -44 4.65382 6.76447 53.16784 6.79195 53.20626 886
37.912 201208282245 -47 -47 0.73526 6.5679 53.21023 6.5651 53.21662 821
38.003 201208282245 -45 -44 4.37035 6.92516 53.17983 6.98553 53.164790000000004 818
37.992 201208282245 -52 -52 0.1309 6.56877 53.21852 6.56696 53.21897 811
38.115 201208282245 -56 -56 1.81686 6.58561 53.20951 6.57222 53.22372 813
39.263 201208282245 -44 -44 4.37035 6.98553 53.164790000000004 6.92516 53.17983 820
39.245 201208282245 -48 -47 1.55384 6.55446 53.2351 6.57528 53.22887 880
